git,date,notes,freq,area,power,instrets,cycles,ifu wait,lsu wait,load seen,store seen,system seen,calc seen,jump seen,branch seen,branch taken,icache hits,icache compulsory miss, icache capacity miss, icache conflict miss
5981c001767c4524d34deccc7aa6b7a8d1ce95d1,2026-01-26T00:18:04,text,507.068,13112.400000,1.843e+00,202436124,4637442986,3269527463,1165479398,16381879,7367772,70,121593122,4179999,52913282,38588808,0,0,0,0
03de9d84499c8408e85a0cd676a89d592b56fa92,2026-01-27T22:26:41,text,552.927,13097.560000,7.763e-01,202436429,5159432769,3707250509,1249745830,16382219,7368031,70,121592927,4179938,52913244,38588867,0,0,0,0
8935c3e07546f848f1098c95846f99e8afc0d65f,2026-01-28T19:25:46,icache  16 lines,579.211,12972.680000,4.433e-01,202439251,5341728638,3840336766,1298952620,16383039,7368555,70,121594225,4179982,52913380,38588808,142338166,0,0,0
266e19e5e04f43725a604be9a1eb2d92622beb9b,2026-01-28T23:23:06,icache  32 lines,574.967,12891.760000,5.449e-01,202436673,4304577213,2859339882,1242800657,16381975,7367825,70,121593463,4180020,52913320,38588760,164997115,0,0,0
6724637949bb51ef074b7105fe9dd0f81baed6e8,2026-01-29T00:08:52,icache  64 lines,540.432,12582.920000,1.411e+00,202419522,2795018919,1444771925,1147827471,16375721,7363695,70,121587304,4179938,52912794,38588477,182460804,0,0,0
8fa77b4c991424e29342ab81e54712f1a5b61ecc,2026-01-29T12:00:45,icache 128 lines,599.521,13048.280000,5.502e-01,202413266,2354441727,928559099,1223469361,16372909,7361803,70,121585508,4179985,52912991,38588593,188922731,0,0,0
dcf84070f400be83a95db51cb9db00e16515381d,2026-01-28T21:48:21,icache 256 lines,546.748,12984.440000,1.028e+00,202402985,1620720942,358255067,1060062889,16369401,7359476,70,121581663,4179924,52912451,38588259,199278676,0,0,0
